wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (180911.48589999982505105 2503376.61609999928623438),E0000004076,9960103,,高雄捷運五塊厝站_出入口4,高捷五塊厝站_出入口4,202205,,,TM2
Point (180980.88730000040959567 2503407.21890000160783529),E0000004111,9960103,,高雄捷運五塊厝站_出入口6,高捷五塊厝站_出入口6,202205,,,TM2
Point (180813.33090000035008416 2503411.0193000016734004),E0000004075,9960103,,高雄捷運五塊厝站_出入口3,高捷五塊厝站_出入口3,202205,,,TM2
Point (180893.71070000040344894 2503417.83989999908953905),E0000005835,9960103,,高雄捷運五塊厝站_O8,高捷五塊厝站_O8,202205,高雄市苓雅區中正一路286號,,TM2
Point (180926.11829999915789813 2503427.59090000111609697),E0000004077,9960103,,高雄捷運五塊厝站_出入口5,高捷五塊厝站_出入口5,202205,,,TM2
Point (180866.83769999930518679 2503438.74190000025555491),E0000004064,9960103,,高雄捷運五塊厝站_出入口2,高捷五塊厝站_出入口2,202205,,,TM2
Point (180819.68210000020917505 2503442.88230000156909227),E0000004074,9960103,,高雄捷運五塊厝站_出入口1,高捷五塊厝站_出入口1,202205,,,TM2
Point (179929.83689999947091565 2503457.71370000019669533),E0000004112,9960103,,高雄捷運文化中心站_出入口3,高捷文化中心站_出入口3,202205,,,TM2
Point (179792.93130000028759241 2503493.70729999896138906),E0000004073,9960103,,高雄捷運文化中心站_出入口2,高捷文化中心站_出入口2,202205,,,TM2
Point (179867.92509999900357798 2503500.7279000012204051),E0000005836,9960103,,高雄捷運文化中心站_O7,高捷文化中心站_O7,202205,高雄市苓雅區中正二路45號,,TM2
Point (179916.4995000000926666 2503522.49009999912232161),E0000004113,9960103,,高雄捷運文化中心站_出入口4,高捷文化中心站_出入口4,202205,,,TM2
Point (179757.19970000075409189 2503529.35070000030100346),E0000004072,9960103,,高雄捷運文化中心站_出入口1,高捷文化中心站_出入口1,202205,,,TM2
Point (179297.5621000008250121 2503534.35129999974742532),E0000004070,9960103,,高雄捷運信義國小站_出入口4,高捷信義國小站_出入口4,202205,,,TM2
Point (179127.92710000049555674 2503547.45249999966472387),E0000004069,9960103,,高雄捷運信義國小站_出入口3,高捷信義國小站_出入口3,202205,,,TM2
Point (179233.9427000000141561 2503556.04330000001937151),E0000005847,9960103,,高雄捷運信義國小站_O6,高捷信義國小站_O6,202205,高雄市新興區中正三路32-1號,,TM2
Point (179311.32850000049802475 2503565.28429999854415655),E0000004071,9960103,,高雄捷運信義國小站_出入口5,高捷信義國小站_出入口5,202205,,,TM2
